#domain,ioc,uri_path
ns2.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery3.2.1.js
ns2.imortal.icu,Possible Cobalt Strike C2 Domain,/search/
ns2.mammothspoon.xyz,Possible Cobalt Strike C2 Domain,/en_US/all.js
ns2.microtimezone.com,Possible Cobalt Strike C2 Domain,/match
ns2.niggerasssys.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.njzjamc.cloud,Possible Cobalt Strike C2 Domain,/updates
ns2.opposrv.top,Possible Cobalt Strike C2 Domain,/js/jquery-3.4.1.min.js
ns2.ossqianxin.co,Possible Cobalt Strike C2 Domain,/updates
ns2.peermanshuus.bio,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns2.safesecuredns.co,Possible Cobalt Strike C2 Domain,/fd/ls/l
ns2.scant.online,Possible Cobalt Strike C2 Domain,/pixel.gif
ns2.sfklla.vip,Possible Cobalt Strike C2 Domain,/fwlink
ns2.smartlinkcorp.net,Possible Cobalt Strike C2 Domain,/search
ns2.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/en_US/all.js
ns3.007work.icu,Possible Cobalt Strike C2 Domain,/cm
ns3.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns3.ddddmart.xyz,Possible Cobalt Strike C2 Domain,/api/v1
ns3.imortal.icu,Possible Cobalt Strike C2 Domain,/search/
ns3.kagotsurube.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.michiganlocking.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js
ns3.njzjamc.cloud,Possible Cobalt Strike C2 Domain,/updates
ns3.ossqianxin.co,Possible Cobalt Strike C2 Domain,/updates
ns3.peermanshuus.bio,Possible Cobalt Strike C2 Domain,/ptj
ns3.sfklla.vip,Possible Cobalt Strike C2 Domain,/visit.js
ns3.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/load
ns4.digitelela.com,Possible Cobalt Strike C2 Domain,/search
ns4.kagotsurube.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns4.michiganlocking.com,Possible Cobalt Strike C2 Domain,/css/jquery.min.js
ns4.sfklla.vip,Possible Cobalt Strike C2 Domain,/g.pixel
ns4.sfklla.vip,Possible Cobalt Strike C2 Domain,/match
ns5.starbucksvip.com,Possible Cobalt Strike C2 Domain,/static/mancard/img/qrcode_download_john.png
ns6.starbucksvip.com,Possible Cobalt Strike C2 Domain,/static/mancard/img/qrcode_download_john.png
nsa1.micrsoft.com.cn,Possible Cobalt Strike C2 Domain,/visit.js
nsa2.micrsoft.com.cn,Possible Cobalt Strike C2 Domain,/visit.js
oa.cncb.info,Possible Cobalt Strike C2 Domain,/updates
oeewbovon.gofunhome.buzz,Possible Cobalt Strike C2 Domain,/bootstrap/5.1.8/js/bootstrap.min.js
office365.outlook.live.com,Possible Cobalt Strike C2 Fronting Domain,/preload
ok.ppctech.xyz,Possible Cobalt Strike C2 Domain,/api/info
omnitruck.chef.io,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
onedrive.live.com,Possible Cobalt Strike C2 Fronting Domain,/preload
payload.su,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0522950/field-keywords=books
paypal.com,Possible Cobalt Strike C2 Fronting Domain,/dz
paypal.com,Possible Cobalt Strike C2 Fronting Domain,/mk
pdf.freeonline-office.com,Possible Cobalt Strike C2 Domain,/signin
plenty.ecocampingplus.com,Possible Cobalt Strike C2 Domain,/activity
poceretu.co,Possible Cobalt Strike C2 Fronted Domain,/logo
ppt.freeonline-office.com,Possible Cobalt Strike C2 Domain,/signin
ppt.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
primerica.azureedge.net,Possible Cobalt Strike C2 Domain,/activity
prod.ergonomic-survey.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
qianxing.rocks,Possible Cobalt Strike C2 Domain,/api/3
qq.chenda.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
quasarincorporated.com,Possible Cobalt Strike C2 Domain,/groupcp
quasarincorporated.com,Possible Cobalt Strike C2 Domain,/html
quasarincorporated.com,Possible Cobalt Strike C2 Domain,/template
qw.sortx2.com,Possible Cobalt Strike C2 Domain,/ml
rano.initiativeus.com,Possible Cobalt Strike C2 Domain,/gecko-002209d43095321-04009-29d082d
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
rechargetranscash.sytes.net,Possible Cobalt Strike C2 Domain,/push
redteambp.tech,Possible Cobalt Strike C2 Domain,/__utm.gif
route.muenchner-finanzhilfe.workers.dev,Possible Cobalt Strike C2 Domain,/owa/
safe.safesecuredns.co,Possible Cobalt Strike C2 Domain,/fd/ls/l
search.scant.online,Possible Cobalt Strike C2 Domain,/ga.js
search.zhenai.com,Possible Cobalt Strike C2 Fronted Domain,/owa
seeusdt.com,Possible Cobalt Strike C2 Domain,/activity
server1.bre1ce.top,Possible Cobalt Strike C2 Domain,/fwlink
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-2r21z5dz-1258209792.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-4b1hpuo9-1305604765.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/check
service-5f0kr3pg-1308639534.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-5mxtmnpp-1301496742.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/g.pixel
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-7hga0z7x-1259444062.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-7u28tmku-1309186631.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
