#domain,ioc
ns3.imortal.icu,Possible Cobalt Strike C2 Domain
ns3.kagotsurube.org,Possible Cobalt Strike C2 Domain
ns3.m1crosoft.cloud,Possible Cobalt Strike C2 Domain
ns3.michiganlocking.com,Possible Cobalt Strike C2 Domain
ns3.ossqianxin.co,Possible Cobalt Strike C2 Domain
ns3.peermanshuus.bio,Possible Cobalt Strike C2 Domain
ns3.sfklla.vip,Possible Cobalt Strike C2 Domain
ns3.xiaopeng111.com,Possible Cobalt Strike C2 Domain
ns4.aliyunapis.com,Possible Cobalt Strike C2 Domain
ns4.digitelela.com,Possible Cobalt Strike C2 Domain
ns4.kagotsurube.org,Possible Cobalt Strike C2 Domain
ns4.michiganlocking.com,Possible Cobalt Strike C2 Domain
ns4.sfklla.vip,Possible Cobalt Strike C2 Domain
ns98.0xgg.eu.org,Possible Cobalt Strike C2 Domain
ns99.0xgg.eu.org,Possible Cobalt Strike C2 Domain
ns_1.chanenergy.com,Possible Cobalt Strike C2 Domain
ns_2.chanenergy.com,Possible Cobalt Strike C2 Domain
nsa1.micrsoft.com.cn,Possible Cobalt Strike C2 Domain
nsa2.micrsoft.com.cn,Possible Cobalt Strike C2 Domain
office365.outlook.live.com,Possible Cobalt Strike C2 Fronting Domain
omnitruck.chef.io,Possible Cobalt Strike C2 Fronted Domain
one.cloudfleras.com,Possible Cobalt Strike C2 Domain
onedrive.live.com,Possible Cobalt Strike C2 Fronting Domain
online.microsoft-online.top,Possible Cobalt Strike C2 Domain
osce12-0-sc.url.asiainfo-sec.com,Possible Cobalt Strike C2 Fronted Domain
oss-update.duckdns.org,Possible Cobalt Strike C2 Domain
outlook.live.com,Possible Cobalt Strike C2 Fronting Domain
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
pass.dlsec.eu.org,Possible Cobalt Strike C2 Domain
paypal.com,Possible Cobalt Strike C2 Fronting Domain
pdf.freeonline-office.com,Possible Cobalt Strike C2 Domain
pic07.babytreeimg.com,Possible Cobalt Strike C2 Fronted Domain
plenty.ecocampingplus.com,Possible Cobalt Strike C2 Domain
powellfamilydentist.com,Possible Cobalt Strike C2 Domain
ppt.freeonline-office.com,Possible Cobalt Strike C2 Domain
ppt.officeappsreviews.com,Possible Cobalt Strike C2 Domain
primary.dreamwellfarms.com,Possible Cobalt Strike C2 Domain
primerica.azureedge.net,Possible Cobalt Strike C2 Domain
prod.ergonomic-survey.com,Possible Cobalt Strike C2 Domain
qaq.blog.happysec.cn,Possible Cobalt Strike C2 Fronting Domain
qianxing.rocks,Possible Cobalt Strike C2 Domain
qq.chenda.xyz,Possible Cobalt Strike C2 Domain
qqns.asdasd33.info,Possible Cobalt Strike C2 Domain
qqns1.asdasd33.info,Possible Cobalt Strike C2 Domain
qw.sortx2.com,Possible Cobalt Strike C2 Domain
qw.tackhostw.com,Possible Cobalt Strike C2 Domain
qw.vm3dservice.com,Possible Cobalt Strike C2 Domain
rano.initiativeus.com,Possible Cobalt Strike C2 Domain
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain
recover.healthcarecdn.com,Possible Cobalt Strike C2 Domain
resysmon.net,Possible Cobalt Strike C2 Domain
riot-uat-api-west.westus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
rt02-dns-rdir-lh-01.westeurope.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
ru-3.myegov.eu,Possible Cobalt Strike C2 Domain
salt.doctordanm.com,Possible Cobalt Strike C2 Domain
sanjianke.tech,Possible Cobalt Strike C2 Domain
scervice.shop,Possible Cobalt Strike C2 Domain
search.scant.online,Possible Cobalt Strike C2 Domain
seeusdt.com,Possible Cobalt Strike C2 Domain
server1.bre1ce.top,Possible Cobalt Strike C2 Domain
service-04d5qlew-1252238657.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-28avdqqq-1259337308.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-2r21z5dz-1258209792.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-3uc3y0ao-1301310284.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-4b1hpuo9-1305604765.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-536yrr0s-1305465584.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-5f0kr3pg-1308639534.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7d3qa3rc-1306912653.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7hga0z7x-1259444062.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7u28tmku-1309186631.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-907f2ttx-1318291330.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-9op9r1ye-1306177445.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-a3q6cine-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-asejzoh9-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-buv6fchs-1305961616.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-f19aq6v8-1300773162.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-fcvuvti8-1258973287.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-gcnqmcp3-1307217324.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ggtktmzs-1257047345.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-goqpel8p-1313519678.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-gt4aitdw-1252551592.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-hs6w7s26-1317863896.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-i0k34aj0-1306743016.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ibovzlqe-1312654096.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ivfpu96s-1258596386.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-j7rl21xg-1252551592.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-j815x7l4-1302505002.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jcetme20-1314507962.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jivrpccg-1258596386.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-k6swyxf1-1258536377.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kboespoo-1317138495.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
