#ip,ioc
120.48.12.88,Possible Cobaltstrike C2 IP
120.48.62.132,Possible Cobaltstrike C2 IP
120.48.74.67,Possible Cobaltstrike C2 IP
120.48.83.89,Possible Cobaltstrike C2 IP
120.53.220.154,Possible Cobaltstrike C2 IP
120.53.94.50,Possible Cobaltstrike C2 IP
120.55.191.186,Possible Cobaltstrike C2 IP
120.55.240.205,Possible Cobaltstrike C2 IP
120.72.117.131,Possible Cobaltstrike C2 IP
120.76.173.159,Possible Cobaltstrike C2 IP
120.77.1.92,Possible Cobaltstrike C2 IP
120.77.99.114,Possible Cobaltstrike C2 IP
120.78.135.166,Possible Cobaltstrike C2 IP
120.78.156.73,Possible Cobaltstrike C2 IP
120.78.189.210,Possible Cobaltstrike C2 IP
120.78.195.79,Possible Cobaltstrike C2 IP
120.78.91.212,Possible Cobaltstrike C2 IP
120.79.230.62,Possible Cobaltstrike C2 IP
120.79.64.164,Possible Cobaltstrike C2 IP
120.89.46.150,Possible Metasploit C2 IP
121.196.198.11,Possible Cobaltstrike C2 IP
121.196.200.132,Possible Cobaltstrike C2 IP
121.196.210.161,Possible Cobaltstrike C2 IP
121.196.235.124,Possible Cobaltstrike C2 IP
121.199.21.219,Possible Cobaltstrike C2 IP
121.199.32.167,Possible Cobaltstrike C2 IP
121.36.18.243,Possible Cobaltstrike C2 IP
121.36.203.14,Possible Cobaltstrike C2 IP
121.36.225.82,Possible Cobaltstrike C2 IP
121.36.52.164,Possible Cobaltstrike C2 IP
121.36.55.149,Possible Cobaltstrike C2 IP
121.36.61.57,Possible Cobaltstrike C2 IP
121.36.81.223,Possible Cobaltstrike C2 IP
121.37.137.243,Possible Cobaltstrike C2 IP
121.37.191.139,Possible Cobaltstrike C2 IP
121.37.198.144,Possible Cobaltstrike C2 IP
121.37.208.189,Possible Cobaltstrike C2 IP
121.37.27.3,Possible Cobaltstrike C2 IP
121.37.30.28,Possible Cobaltstrike C2 IP
121.4.111.221,Possible Cobaltstrike C2 IP
121.4.115.219,Possible Cobaltstrike C2 IP
121.4.154.20,Possible Cobaltstrike C2 IP
121.4.237.161,Possible Cobaltstrike C2 IP
121.4.254.197,Possible Cobaltstrike C2 IP
121.4.34.103,Possible Cobaltstrike C2 IP
121.4.49.155,Possible Cobaltstrike C2 IP
121.4.50.245,Possible Cobaltstrike C2 IP
121.4.52.176,Possible Cobaltstrike C2 IP
121.4.64.103,Possible Cobaltstrike C2 IP
121.4.69.24,Possible Cobaltstrike C2 IP
121.4.88.169,Possible Cobaltstrike C2 IP
121.4.97.5,Possible Cobaltstrike C2 IP
121.40.119.94,Possible Cobaltstrike C2 IP
121.40.127.134,Possible Cobaltstrike C2 IP
121.40.133.193,Possible Cobaltstrike C2 IP
121.40.19.66,Possible Cobaltstrike C2 IP
121.40.234.72,Possible Cobaltstrike C2 IP
121.40.65.171,Possible Cobaltstrike C2 IP
121.41.179.124,Possible Cobaltstrike C2 IP
121.41.216.139,Possible Cobaltstrike C2 IP
121.43.111.5,Possible Cobaltstrike C2 IP
121.43.185.147,Possible Cobaltstrike C2 IP
121.43.189.59,Possible Cobaltstrike C2 IP
121.43.35.47,Possible Cobaltstrike C2 IP
121.43.52.24,Possible Cobaltstrike C2 IP
121.46.6.208,Possible Cobaltstrike C2 IP
121.5.102.72,Possible Cobaltstrike C2 IP
121.5.110.242,Possible Cobaltstrike C2 IP
121.5.128.191,Possible Cobaltstrike C2 IP
121.5.129.43,Possible Cobaltstrike C2 IP
121.5.134.64,Possible Cobaltstrike C2 IP
121.5.136.224,Possible Cobaltstrike C2 IP
121.5.166.38,Possible Cobaltstrike C2 IP
121.5.167.18,Possible Cobaltstrike C2 IP
121.5.235.93,Possible Cobaltstrike C2 IP
121.5.5.192,Possible Cobaltstrike C2 IP
121.5.64.8,Possible Cobaltstrike C2 IP
121.5.66.186,Possible Cobaltstrike C2 IP
122.112.192.110,Possible Cobaltstrike C2 IP
122.152.234.71,Possible Cobaltstrike C2 IP
122.152.237.207,Possible Cobaltstrike C2 IP
122.51.206.18,Possible Cobaltstrike C2 IP
122.51.226.39,Possible Cobaltstrike C2 IP
122.51.97.82,Possible Cobaltstrike C2 IP
122.9.160.41,Possible Cobaltstrike C2 IP
123.207.41.129,Possible Cobaltstrike C2 IP
123.207.5.159,Possible Cobaltstrike C2 IP
123.207.51.53,Possible Cobaltstrike C2 IP
123.207.71.32,Possible Cobaltstrike C2 IP
123.207.8.141,Possible Cobaltstrike C2 IP
123.249.100.157,Possible Cobaltstrike C2 IP
123.249.100.70,Possible Cobaltstrike C2 IP
123.249.28.204,Possible Cobaltstrike C2 IP
123.249.41.106,Possible Cobaltstrike C2 IP
123.249.5.106,Possible Cobaltstrike C2 IP
123.249.5.196,Possible Cobaltstrike C2 IP
123.249.8.26,Possible Cobaltstrike C2 IP
123.249.91.163,Possible Cobaltstrike C2 IP
123.56.128.182,Possible Cobaltstrike C2 IP
123.56.140.68,Possible Cobaltstrike C2 IP
