#ip,ioc
140.99.19.231,Possible Cobaltstrike C2 IP
141.98.234.17,Possible Cobaltstrike C2 IP
142.93.130.115,Possible Cobaltstrike C2 IP
142.93.2.25,Possible Cobaltstrike C2 IP
143.198.111.217,Possible Cobaltstrike C2 IP
143.198.210.118,Possible Cobaltstrike C2 IP
143.92.39.125,Possible Cobaltstrike C2 IP
143.92.58.97,Possible Cobaltstrike C2 IP
144.202.44.90,Possible Cobaltstrike C2 IP
146.56.196.43,Possible Cobaltstrike C2 IP
146.70.79.23,Possible Cobaltstrike C2 IP
147.182.170.15,Possible Powershell Empire C2 IP
147.78.47.221,Possible Cobaltstrike C2 IP
147.78.47.241,Possible Cobaltstrike C2 IP
149.115.229.44,Possible Cobaltstrike C2 IP
149.115.229.58,Possible Cobaltstrike C2 IP
149.115.229.64,Possible Cobaltstrike C2 IP
149.129.72.37,Possible Cobaltstrike C2 IP
149.28.154.120,Possible Cobaltstrike C2 IP
150.107.2.178,Possible Metasploit C2 IP
150.158.100.126,Possible Cobaltstrike C2 IP
150.158.100.162,Possible Cobaltstrike C2 IP
150.158.155.208,Possible Cobaltstrike C2 IP
150.158.180.97,Possible Cobaltstrike C2 IP
150.158.181.243,Possible Cobaltstrike C2 IP
150.158.212.71,Possible Cobaltstrike C2 IP
150.158.31.222,Possible Cobaltstrike C2 IP
150.158.37.125,Possible Cobaltstrike C2 IP
150.158.41.176,Possible Cobaltstrike C2 IP
150.158.49.33,Possible Cobaltstrike C2 IP
150.158.51.99,Possible Cobaltstrike C2 IP
150.158.53.87,Possible Cobaltstrike C2 IP
150.158.75.102,Possible Cobaltstrike C2 IP
150.230.201.17,Possible Cobaltstrike C2 IP
152.136.104.49,Possible Cobaltstrike C2 IP
152.136.170.204,Possible Cobaltstrike C2 IP
152.136.35.240,Possible Cobaltstrike C2 IP
152.32.145.237,Possible Cobaltstrike C2 IP
152.67.249.70,Possible Cobaltstrike C2 IP
152.89.198.29,Possible Cobaltstrike C2 IP
154.196.13.135,Possible Cobaltstrike C2 IP
154.196.13.153,Possible Cobaltstrike C2 IP
154.221.17.44,Possible Cobaltstrike C2 IP
154.31.20.75,Possible Cobaltstrike C2 IP
154.40.46.31,Possible Cobaltstrike C2 IP
154.83.17.116,Possible Cobaltstrike C2 IP
154.9.227.74,Possible Cobaltstrike C2 IP
154.9.230.92,Possible Cobaltstrike C2 IP
154.9.253.54,Possible Cobaltstrike C2 IP
154.90.57.70,Possible Cobaltstrike C2 IP
155.94.170.73,Possible Cobaltstrike C2 IP
158.101.144.105,Possible Cobaltstrike C2 IP
158.247.205.19,Possible Cobaltstrike C2 IP
158.247.221.28,Possible Cobaltstrike C2 IP
159.100.29.76,Possible Metasploit C2 IP
159.203.60.8,Possible Cobaltstrike C2 IP
159.223.72.123,Possible Cobaltstrike C2 IP
159.223.77.201,Possible Cobaltstrike C2 IP
159.65.136.204,Possible PoshC2 IP
159.65.60.36,Possible Powershell Empire C2 IP
159.65.89.159,Possible Cobaltstrike C2 IP
159.75.166.122,Possible Cobaltstrike C2 IP
159.75.167.213,Possible Cobaltstrike C2 IP
159.75.187.222,Possible Cobaltstrike C2 IP
162.14.209.70,Possible Cobaltstrike C2 IP
162.14.97.126,Possible Cobaltstrike C2 IP
162.19.68.68,Possible Cobaltstrike C2 IP
163.197.211.102,Possible Cobaltstrike C2 IP
163.197.220.64,Possible Cobaltstrike C2 IP
165.154.113.120,Possible Cobaltstrike C2 IP
165.154.130.222,Possible Cobaltstrike C2 IP
165.154.131.126,Possible Cobaltstrike C2 IP
165.227.154.89,Possible Cobaltstrike C2 IP
165.232.114.60,Possible Cobaltstrike C2 IP
165.3.127.43,Possible Cobaltstrike C2 IP
167.172.44.235,Possible Cobaltstrike C2 IP
167.179.114.165,Possible Cobaltstrike C2 IP
167.179.84.218,Possible Cobaltstrike C2 IP
167.88.166.143,Possible Metasploit C2 IP
167.99.176.64,Possible Cobaltstrike C2 IP
167.99.239.248,Possible Cobaltstrike C2 IP
167.99.246.113,Possible Cobaltstrike C2 IP
169.239.129.23,Possible Metasploit C2 IP
170.130.165.100,Possible Cobaltstrike C2 IP
170.130.172.35,Possible Cobaltstrike C2 IP
170.64.145.108,Possible Cobaltstrike C2 IP
172.105.192.139,Possible Cobaltstrike C2 IP
172.86.127.13,Possible Cobaltstrike C2 IP
172.86.69.227,Possible Metasploit C2 IP
172.86.79.51,Possible Metasploit C2 IP
