#domain,ioc,uri_path
ns1.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.hanqianye.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.4.1.min.js
ns1.htl502.tech,Possible Cobalt Strike C2 Domain,/ga.js
ns1.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery3.2.1.js
ns1.imortal.icu,Possible Cobalt Strike C2 Domain,/search/
ns1.metaethicsecurityltd.online,Possible Cobalt Strike C2 Domain,/en_US/all.js
ns1.microtimezone.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns1.micsoft.org,Possible Cobalt Strike C2 Domain,/Compose/donations/0J21NRPWR
ns1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain,/api/3
ns1.myazureonline.com,Possible Cobalt Strike C2 Domain,/fwlink
ns1.nateeka.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
ns1.niggerasssys.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.njzjamc.cloud,Possible Cobalt Strike C2 Domain,/updates
ns1.ossqianxin.co,Possible Cobalt Strike C2 Domain,/updates
